builder_key,contrast,metric,left_regime,right_regime,left_mean,mean_difference,ci_lower,ci_upper,relative_difference_percent,paired_question_count,display_name,family,parameter_billions,scale_band
qwen3_1_7b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.30833333333333335,0.008333333333333333,-0.016666666666666666,0.03333333333333333,2.7027027027027026,120,Qwen3 1.7B,qwen3,1.7,1_to_lt4b
qwen3_1_7b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.18209876543209874,0.011111111111111112,0.0,0.03333333333333333,6.101694915254239,90,Qwen3 1.7B,qwen3,1.7,1_to_lt4b
qwen3_4b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.26666666666666666,-0.011111111111111112,-0.03333333333333333,0.0,-4.166666666666667,90,Qwen3 4B,qwen3,4.0,4_to_lt8b
qwen3_4b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.11944444444444445,-0.0037037037037037034,-0.011111111111111112,0.0,-3.1007751937984493,90,Qwen3 4B,qwen3,4.0,4_to_lt8b
qwen3_4b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.24444444444444444,-0.011111111111111112,-0.03333333333333333,0.0,-4.545454545454546,90,Qwen3 4B,qwen3,4.0,4_to_lt8b
qwen3_4b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.325,0.0,-0.025,0.025,0.0,120,Qwen3 4B,qwen3,4.0,4_to_lt8b
qwen3_4b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.151010101010101,-0.001633986928104575,-0.016666666666666666,0.011764705882352941,-1.0820381664371432,90,Qwen3 4B,qwen3,4.0,4_to_lt8b
qwen3_8b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.45555555555555555,0.022222222222222223,0.0,0.05555555555555555,4.878048780487805,90,Qwen3 8B,qwen3,8.0,8b_plus
qwen3_8b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.2148148148148148,0.01759259259259259,-0.00462962962962963,0.041666666666666664,8.189655172413794,90,Qwen3 8B,qwen3,8.0,8b_plus
qwen3_8b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.37777777777777777,-0.0014814814814814818,-0.01925925925925926,0.016666666666666666,-0.3921568627450982,90,Qwen3 8B,qwen3,8.0,8b_plus
qwen3_8b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.30833333333333335,0.0,-0.041666666666666664,0.041666666666666664,0.0,120,Qwen3 8B,qwen3,8.0,8b_plus
qwen3_8b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.19181818181818183,0.00595959595959596,-0.04404040404040404,0.05555555555555555,3.106898367561875,90,Qwen3 8B,qwen3,8.0,8b_plus
gemma3_270m,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.4222222222222222,0.044444444444444446,-0.011111111111111112,0.1111111111111111,10.526315789473685,90,Gemma 3 270M,gemma3,0.27,sub_1b
gemma3_270m,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.1851851851851852,0.04351851851851852,0.012037037037037034,0.07870370370370369,23.5,90,Gemma 3 270M,gemma3,0.27,sub_1b
gemma3_270m,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.3592592592592593,0.014814814814814814,-0.016666666666666666,0.04629629629629629,4.123711340206185,90,Gemma 3 270M,gemma3,0.27,sub_1b
gemma3_270m,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.275,0.016666666666666666,-0.025,0.058333333333333334,6.0606060606060606,120,Gemma 3 270M,gemma3,0.27,sub_1b
gemma3_270m,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.1691178451178451,0.009354377104377103,-0.025735690235690237,0.04448653198653199,5.5312773751692275,90,Gemma 3 270M,gemma3,0.27,sub_1b
gemma3_1b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.4777777777777778,-0.011111111111111112,-0.03333333333333333,0.0,-2.3255813953488373,90,Gemma 3 1B,gemma3,1.0,1_to_lt4b
gemma3_1b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.2296296296296296,-0.007407407407407407,-0.018518518518518517,0.0,-3.2258064516129035,90,Gemma 3 1B,gemma3,1.0,1_to_lt4b
gemma3_1b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.3703703703703704,-0.011111111111111112,-0.027777777777777776,0.0,-3.0,90,Gemma 3 1B,gemma3,1.0,1_to_lt4b
gemma3_1b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.3,0.0,-0.041666666666666664,0.041666666666666664,0.0,120,Gemma 3 1B,gemma3,1.0,1_to_lt4b
gemma3_1b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.18888888888888888,-0.0010101010101010092,-0.03333333333333333,0.03232323232323232,-0.5347593582887696,90,Gemma 3 1B,gemma3,1.0,1_to_lt4b
gemma3_4b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.4222222222222222,0.0,0.0,0.0,0.0,90,Gemma 3 4B,gemma3,4.0,4_to_lt8b
gemma3_4b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.18148148148148147,0.0,0.0,0.0,0.0,90,Gemma 3 4B,gemma3,4.0,4_to_lt8b
gemma3_4b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.34814814814814815,0.0,0.0,0.0,0.0,90,Gemma 3 4B,gemma3,4.0,4_to_lt8b
gemma3_4b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.2916666666666667,0.016666666666666666,-0.016666666666666666,0.05,5.714285714285714,120,Gemma 3 4B,gemma3,4.0,4_to_lt8b
gemma3_4b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.19437946718648472,-0.00505050505050505,-0.03838383838383838,0.023737373737373738,-2.598270858341057,90,Gemma 3 4B,gemma3,4.0,4_to_lt8b
gemma3_12b,Incremental: ER+RR−ER,retrieval_hit,ER,ER+RR,0.4222222222222222,0.011111111111111112,0.0,0.03333333333333333,2.6315789473684212,90,Gemma 3 12B,gemma3,12.0,8b_plus
gemma3_12b,Incremental: ER+RR−ER,retrieval_recall,ER,ER+RR,0.1907407407407407,0.005555555555555556,0.0,0.016666666666666666,2.9126213592233015,90,Gemma 3 12B,gemma3,12.0,8b_plus
gemma3_12b,Incremental: ER+RR−ER,reciprocal_rank,ER,ER+RR,0.36481481481481476,0.005555555555555556,0.0,0.016666666666666666,1.522842639593909,90,Gemma 3 12B,gemma3,12.0,8b_plus
gemma3_12b,Incremental: ER+RR−ER,answer_correct,ER,ER+RR,0.36666666666666664,0.008333333333333333,0.0,0.025,2.272727272727273,120,Gemma 3 12B,gemma3,12.0,8b_plus
gemma3_12b,Incremental: ER+RR−ER,token_f1,ER,ER+RR,0.19961223092157623,0.011295146077754774,0.0,0.03370140326662066,5.6585440809949255,90,Gemma 3 12B,gemma3,12.0,8b_plus
