builder_key,person,organization,concept,content,unknown,artifact,event,location,method,data,other
qwen35_0_8b,0.3288213931990756,0.23737206999009575,0.07461208319577418,0.12677451304060747,0.10333443380653681,0.03103334433806537,0.025420931000330143,0.0468801584681413,0.010234400792340706,0.003961703532518983,0.01155496863651373
qwen35_2b,0.22197424892703863,0.18678111587982832,0.05751072961373391,0.13390557939914163,0.2616309012875537,0.015107296137339056,0.02386266094420601,0.030214592274678112,0.022660944206008584,0.0321030042918455,0.014248927038626569
qwen35_4b,0.23897464167585447,0.2118246968026461,0.07621278941565601,0.0984013230429989,0.10584343991179714,0.09812568908489526,0.03583241455347299,0.06615214994487321,0.01832965821389195,0.029630650496141126,0.020672546857772867
qwen35_9b,0.2624157919473602,0.2335892213692621,0.09713300955663481,0.09133636221212596,0.04637317875607081,0.11577628074573085,0.0412031959893467,0.06015979946733511,0.01660661131129563,0.015509948300172332,0.01989660034466545
qwen3_0_6b,0.2512936610608021,0.1429495472186287,0.07503234152652005,0.05304010349288486,0.06630012936610608,0.03589909443725744,0.14909443725743854,0.0795601552393273,0.01390685640362225,0.004527813712807244,0.12839586028460548
qwen3_1_7b,0.2366030881017257,0.25635785649409626,0.06403269754768393,0.06925522252497729,0.06857402361489555,0.08832879200726612,0.07107175295186194,0.07243415077202543,0.003860127157129882,0.007947320617620345,0.06153496821071758
qwen3_4b,0.18250706396095556,0.18481890572823015,0.3070896480863088,0.06344721294631389,0.028898022090932445,0.04983303365014128,0.07796044181864886,0.05702543025944002,0.01708194194708451,0.006807089648086309,0.02453120986385815
qwen3_8b,0.12536269622795923,0.12923145599285768,0.4013838256082137,0.07306004017558218,0.004463953574882822,0.05535302432854698,0.08265754036158024,0.03846439997024031,0.01592143441708206,0.033033256454132874,0.041068372888921956
gemma3_270m,0.2153392330383481,0.14257620452310718,0.0058997050147492625,0.004916420845624385,0.05801376597836775,0.0,0.007866273352999017,0.00688298918387414,0.0009832841691248771,0.0009832841691248771,0.5565388397246804
gemma3_1b,0.24627641149982682,0.19050917907862833,0.07620367163145134,0.04329754069968826,0.17353654312435055,0.01662625562868029,0.02909594735019051,0.04814686525805334,0.05542085209560097,0.0017319016279875303,0.11915483200554211
gemma3_4b,0.24846340100577388,0.21866269323896442,0.04879865896815049,0.10039113428943937,0.13913205438629167,0.07766809461724716,0.031104488731607375,0.0396721922145651,0.03650586701434159,0.024585583907617805,0.03501583162600119
gemma3_12b,0.30134357005758156,0.25547024952015357,0.03378119001919386,0.072552783109405,0.06583493282149712,0.09923224568138196,0.04491362763915547,0.06314779270633397,0.021305182341650672,0.011516314779270634,0.030902111324376147
