family,regime,retrieval_hit_mean,retrieval_hit_std,retrieval_hit_min,retrieval_hit_max,retrieval_recall_mean,retrieval_recall_std,reciprocal_rank_mean,reciprocal_rank_std,complete_chain_recall_at_5_mean,complete_chain_recall_at_5_std
gemma3,Native,0.35833333333333334,0.0590563656263036,0.3111111111111111,0.43333333333333335,0.1615740740740741,0.038848450462507574,0.3071759259259259,0.05185942956092945,0.022222222222222223,0.020286020648339485
gemma3,ER,0.4361111111111111,0.027777777777777794,0.4222222222222222,0.4777777777777778,0.19675925925925927,0.02224150398048948,0.36064814814814816,0.009487917375888527,0.027777777777777776,0.014344382763731175
gemma3,ER+RR,0.44722222222222224,0.022906142364542546,0.4222222222222222,0.4666666666666667,0.20717592592592593,0.022123946788279572,0.362962962962963,0.011712139482105116,0.03888888888888889,0.014344382763731171
qwen3,Native,0.29444444444444445,0.11129614223197572,0.18888888888888888,0.43333333333333335,0.12939814814814815,0.04364229180739829,0.26643518518518516,0.0746519702798705,0.011111111111111112,0.012830005981991684
qwen3,ER,0.37777777777777777,0.08935065245788754,0.26666666666666666,0.45555555555555555,0.17175925925925925,0.04224563461781045,0.3368055555555556,0.06816883995448904,0.030555555555555558,0.010638078975070424
qwen3,ER+RR,0.38055555555555554,0.10076865081787253,0.25555555555555554,0.4777777777777778,0.17476851851851852,0.04986478630837847,0.3336574074074074,0.07293387510049229,0.03333333333333333,0.02400274332743652
qwen3.5,Native,0.23888888888888887,0.04670192671451291,0.17777777777777778,0.28888888888888886,0.10416666666666666,0.024908382651061947,0.2263888888888889,0.040271568983641634,0.016666666666666666,0.011111111111111112
qwen3.5,ER,0.3388888888888889,0.041076061134849705,0.3,0.3888888888888889,0.15162037037037038,0.03334511965835062,0.3023148148148148,0.029874566305373468,0.022222222222222223,0.012830005981991683
qwen3.5,ER+RR,0.3333333333333333,0.027216552697590848,0.3111111111111111,0.36666666666666664,0.14837962962962964,0.023899832405815377,0.29768518518518516,0.030292545573617203,0.022222222222222223,0.012830005981991683
