builder_key,display_name,regime,isolated_nodes_percent,retrieval_hit_percent,complete_chain_recall_at_5_percent,complete_chain_count,answerable_count
gemma3_270m,Gemma 3 270M,Native,76.10619469026548,37.77777777777778,1.1111111111111112,1,90
gemma3_270m,Gemma 3 270M,ER,76.31048387096774,42.22222222222222,1.1111111111111112,1,90
gemma3_270m,Gemma 3 270M,ER+RR,39.91935483870968,46.666666666666664,5.555555555555555,5,90
qwen3_8b,Qwen3 8B,Native,84.91927683952088,43.333333333333336,0.0,0,90
qwen3_8b,Qwen3 8B,ER,83.99776750119598,45.55555555555556,4.444444444444445,4,90
qwen3_8b,Qwen3 8B,ER+RR,80.58523361505343,47.77777777777778,6.666666666666667,6,90
