regime,outcome_group,count,share
Native,Correct,161,0.14907407407407408
Native,Other incorrect,233,0.21574074074074073
Native,Over-abstention,686,0.6351851851851852
ER,Correct,190,0.17592592592592593
ER,Other incorrect,207,0.19166666666666668
ER,Over-abstention,683,0.6324074074074074
ER+RR,Correct,184,0.17037037037037037
ER+RR,Other incorrect,214,0.19814814814814816
ER+RR,Over-abstention,682,0.6314814814814815
