family,regime,answer_correct_mean,answer_correct_std,answer_correct_min,answer_correct_max,token_f1_mean,token_f1_std,over_abstention_mean,over_abstention_std,hallucination_mean,hallucination_std,unanswerable_correct_mean,unanswerable_correct_std
gemma3,Native,0.29583333333333334,0.014433756729740633,0.2833333333333333,0.31666666666666665,0.1687662630196274,0.014704746508839253,0.6166666666666667,0.065734219812218,0.29166666666666663,0.07391185942027814,0.7083333333333333,0.07391185942027818
gemma3,ER,0.30833333333333335,0.040253824294970666,0.275,0.36666666666666664,0.18799960802869875,0.013327507949042293,0.6055555555555556,0.01924500897298757,0.2916666666666667,0.12874033584729408,0.7083333333333333,0.12874033584729414
gemma3,ER+RR,0.31875,0.03811228537225624,0.2916666666666667,0.375,0.19164683730908022,0.013712641535869912,0.6138888888888889,0.02290614236454257,0.26666666666666666,0.11221672153735641,0.7333333333333333,0.11221672153735647
qwen3,Native,0.29166666666666663,0.03469443332443555,0.25,0.3333333333333333,0.16988690905357573,0.053399179469823935,0.6444444444444445,0.1092435644722417,0.29166666666666663,0.17078251276599332,0.7083333333333334,0.17078251276599335
qwen3,ER,0.3104166666666667,0.01048588116009826,0.3,0.325,0.1726459034792368,0.018017506741025795,0.6499999999999999,0.050102775031365544,0.23333333333333334,0.06666666666666667,0.7666666666666666,0.0666666666666667
qwen3,ER+RR,0.31666666666666665,0.006804138174397712,0.30833333333333335,0.325,0.18012018186682788,0.021819933657247628,0.6333333333333333,0.06728111897994432,0.22499999999999998,0.08333333333333333,0.775,0.08333333333333337
qwen3.5,Native,0.28125,0.010485881160098274,0.26666666666666666,0.2916666666666667,0.14883514657762614,0.013657714239834438,0.6444444444444444,0.02222222222222227,0.2833333333333333,0.05773502691896256,0.7166666666666667,0.057735026918962595
qwen3.5,ER,0.3458333333333333,0.022047927592204905,0.31666666666666665,0.36666666666666664,0.20578551324324273,0.03361537955882515,0.6416666666666666,0.036711532595553716,0.2,0.07200822998230956,0.7999999999999999,0.07200822998230957
qwen3.5,ER+RR,0.325,0.011785113019775821,0.31666666666666665,0.3416666666666667,0.17854776117155344,0.031095674062804644,0.6472222222222221,0.04291344528243138,0.19999999999999998,0.090267093384844,0.8,0.09026709338484402
