builder_key,display_name,family,parameter_billions,regime,stage,applicable,duration_seconds,duration_hours,workload_count,workload_unit,seconds_per_unit,throughput,throughput_unit,resource_value,resource_unit,resource_measurement,attempt_count_max,retry_excess,total_pipeline_hours,stage_share
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,RR,True,6973.906402,1.9371962227777777,155,document,44.99294452903226,80.01254502641088,documents/hour,,,token or memory consumption not recorded,2.0,1.0,4.531565233888889,0.42748942645482313
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,Retrieval,True,602.796849,0.16744356916666667,120,question,5.023307075,11.944322555674143,questions/minute,664194.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,4.531565233888889,0.03695049293662497
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,QA,True,4966.720062,1.3796444616666668,120,question,41.38933385,86.97893068409459,questions/hour,707457.0,tokens,answer-model total tokens,1.0,0.0,4.531565233888889,0.304452080122145
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,Graph Construction,True,6909.715296,1.91936536,440,chunk,15.7038984,229.24244084513435,chunks/hour,3448025.0,tokens,builder LLM input + output tokens,1.0,0.0,3.4624633572222225,0.5543352122402878
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,ER,False,0.0,0.0,0,document,,,documents/hour,,,ER judge tokens,0.0,0.0,3.4624633572222225,0.0
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,3.4624633572222225,0.0
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,Retrieval,True,596.142658,0.16559518277777777,120,question,4.9678554833333335,12.077646018748753,questions/minute,664081.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,3.4624633572222225,0.04782582967480912
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,QA,True,4959.010132,1.3775028144444446,120,question,41.32508443333334,87.11415958042652,questions/hour,708207.0,tokens,answer-model total tokens,1.0,0.0,3.4624633572222225,0.3978389580849031
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,Graph Construction,True,6909.715296,1.91936536,440,chunk,15.7038984,229.24244084513435,chunks/hour,3448025.0,tokens,builder LLM input + output tokens,1.0,0.0,4.3347141222222225,0.4427893756961356
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,ER,True,3085.483848,0.8570788466666667,155,document,19.906347406451612,180.84683877431206,documents/hour,162557.0,tokens,ER judge tokens,1.0,0.0,4.3347141222222225,0.1977244225340699
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,4.3347141222222225,0.0
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,Retrieval,True,606.584256,0.16849562666666665,120,question,5.0548687999999995,11.869744275064074,questions/minute,668159.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,4.3347141222222225,0.03887122008873936
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,QA,True,5003.18744,1.3897742888888889,120,question,41.69322866666666,86.34495612660876,questions/hour,712677.0,tokens,answer-model total tokens,1.0,0.0,4.3347141222222225,0.3206149816810551
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,Graph Construction,True,6909.715296,1.91936536,440,chunk,15.7038984,229.24244084513435,chunks/hour,3448025.0,tokens,builder LLM input + output tokens,1.0,0.0,7.601152266388889,0.2525097896653294
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,ER,True,3085.483848,0.8570788466666667,155,document,19.906347406451612,180.84683877431206,documents/hour,162557.0,tokens,ER judge tokens,1.0,0.0,7.601152266388889,0.11275643700186559
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,RR,True,11871.816762,3.2977268783333336,155,document,76.59236620645162,47.0020731608728,documents/hour,,,token or memory consumption not recorded,1.0,0.0,7.601152266388889,0.4338456542852546
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,Retrieval,True,607.511784,0.16875327333333334,120,question,5.0625982,11.8516219596491,questions/minute,654465.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,7.601152266388889,0.022201012085961497
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,QA,True,4889.620469,1.3582279080555557,120,question,40.74683724166667,88.35041548497738,questions/hour,697956.0,tokens,answer-model total tokens,1.0,0.0,7.601152266388889,0.17868710696158896
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,Graph Construction,True,21222.221847,5.895061624166667,440,chunk,48.23232237954546,74.63874477515728,chunks/hour,3898963.0,tokens,builder LLM input + output tokens,1.0,0.0,7.422287618055555,0.7942378317200026
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,ER,False,0.0,0.0,0,document,,,documents/hour,,,ER judge tokens,0.0,0.0,7.422287618055555,0.0
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,7.422287618055555,0.0
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,Retrieval,True,601.467716,0.16707436555555555,120,question,5.0122309666666665,11.970717311118324,questions/minute,660844.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,7.422287618055555,0.02250982098148935
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,QA,True,4896.545862,1.3601516283333333,120,question,40.804548849999996,88.22545773594554,questions/hour,698941.0,tokens,answer-model total tokens,1.0,0.0,7.422287618055555,0.18325234729850814
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,Graph Construction,True,21222.221847,5.895061624166667,440,chunk,48.23232237954546,74.63874477515728,chunks/hour,3898963.0,tokens,builder LLM input + output tokens,1.0,0.0,8.996721721666667,0.6552455223739644
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,ER,True,5563.67073,1.5454640916666667,155,document,35.89464987096774,100.2934981380539,documents/hour,129634.0,tokens,ER judge tokens,1.0,0.0,8.996721721666667,0.17178080410609448
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,8.996721721666667,0.0
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,Retrieval,True,616.591817,0.17127550472222222,120,question,5.1382651416666665,11.677093015978187,questions/minute,668312.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,8.996721721666667,0.01903754612191039
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,QA,True,4985.713804,1.3849205011111112,120,question,41.54761503333334,86.64757284170818,questions/hour,708789.0,tokens,answer-model total tokens,1.0,0.0,8.996721721666667,0.1539361273980308
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,Graph Construction,True,21222.221847,5.895061624166667,440,chunk,48.23232237954546,74.63874477515728,chunks/hour,3898963.0,tokens,builder LLM input + output tokens,1.0,0.0,13.795199317222222,0.42732703519601534
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,ER,True,5563.67073,1.5454640916666667,155,document,35.89464987096774,100.2934981380539,documents/hour,129634.0,tokens,ER judge tokens,1.0,0.0,13.795199317222222,0.11202912376461834
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,RR,True,17265.293902999998,4.795914973055555,155,document,111.38899292258063,32.31917180993036,documents/hour,,,token or memory consumption not recorded,1.0,0.0,13.795199317222222,0.3476510098022456
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,Retrieval,True,616.802911,0.17133414194444443,120,question,5.140024258333333,11.673096659558405,questions/minute,669969.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,13.795199317222222,0.01241983809038172
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,QA,True,4994.728151,1.387424486388889,120,question,41.62273459166667,86.49119370260597,questions/hour,710322.0,tokens,answer-model total tokens,1.0,0.0,13.795199317222222,0.100572993146739
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,Graph Construction,True,55700.065497,15.472240415833335,440,chunk,126.59105794772728,28.43802760133763,chunks/hour,3807891.0,tokens,builder LLM input + output tokens,1.0,0.0,17.01810333388889,0.9091636190163911
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,ER,False,0.0,0.0,0,document,,,documents/hour,,,ER judge tokens,0.0,0.0,17.01810333388889,0.0
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,17.01810333388889,0.0
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,Retrieval,True,600.925507,0.16692375194444445,120,question,5.007712558333334,11.981518368132773,questions/minute,672429.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,17.01810333388889,0.0098085990353603
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,QA,True,4964.180998,1.378939166111111,120,question,41.36817498333333,87.02341839953999,questions/hour,706103.0,tokens,answer-model total tokens,1.0,0.0,17.01810333388889,0.08102778194824857
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,Graph Construction,True,55700.065497,15.472240415833335,440,chunk,126.59105794772728,28.43802760133763,chunks/hour,3807891.0,tokens,builder LLM input + output tokens,1.0,0.0,18.556755925833333,0.8337793781236317
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,ER,True,5084.467477,1.4123520769444444,155,document,32.80301598064516,109.74600634661509,documents/hour,97796.0,tokens,ER judge tokens,1.0,0.0,18.556755925833333,0.07610985899632776
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,RR,False,0.0,0.0,0,document,,,documents/hour,,,token or memory consumption not recorded,0.0,0.0,18.556755925833333,0.0
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,Retrieval,True,765.972328,0.2127700911111111,120,question,6.383102733333333,9.399817378259128,questions/minute,659043.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,18.556755925833333,0.011465909880018868
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,QA,True,5253.816031,1.4593933419444445,120,question,43.781800258333334,82.22594728307874,questions/hour,696278.0,tokens,answer-model total tokens,1.0,0.0,18.556755925833333,0.07864485300002172
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,Graph Construction,True,55700.065497,15.472240415833335,440,chunk,126.59105794772728,28.43802760133763,chunks/hour,3807891.0,tokens,builder LLM input + output tokens,1.0,0.0,23.232518171944445,0.6659734558829524
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,ER,True,5084.467477,1.4123520769444444,155,document,32.80301598064516,109.74600634661509,documents/hour,97796.0,tokens,ER judge tokens,1.0,0.0,23.232518171944445,0.06079203582201428
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,RR,True,17237.291736,4.788136593333333,155,document,111.20833378064516,32.371674654355346,documents/hour,,,token or memory consumption not recorded,1.0,0.0,23.232518171944445,0.20609632403582837
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,Retrieval,True,640.203307,0.17783425194444444,120,question,5.3350275583333335,11.246427379045075,questions/minute,661357.0,tokens,retrieved context tokens supplied to QA,1.0,0.0,23.232518171944445,0.007654540529282651
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,QA,True,4975.037402,1.381954833888889,120,question,41.458645016666665,86.83351804075542,questions/hour,698705.0,tokens,answer-model total tokens,1.0,0.0,23.232518171944445,0.059483643729922285
