builder_key,display_name,family,parameter_billions,regime,Graph Construction,ER,RR,Retrieval,QA,Graph Construction_share,ER_share,RR_share,Retrieval_share,QA_share,Graph Construction_seconds_per_unit,ER_seconds_per_unit,RR_seconds_per_unit,Retrieval_seconds_per_unit,QA_seconds_per_unit,retrieval_latency_mean_s,retrieval_latency_p95_s,answer_latency_mean_s,answer_latency_p95_s,context_tokens_mean,answer_tokens_mean,retrieval_mrr,qa_accuracy,questions,total_pipeline_hours,correct_answers_per_pipeline_hour,mrr_points_per_pipeline_hour,retry_excess,max_attempt_count,qa_pareto,mrr_pareto
gemma3_12b,Gemma 3 12B,gemma3,12.0,Native,15.472240415833335,0.0,0.0,0.16692375194444445,1.378939166111111,0.9091636190163911,0.0,0.0,0.0098085990353603,0.08102778194824857,126.59105794772728,,,5.007712558333334,41.36817498333333,4.985177567051141,6.4556499127473215,41.35215488612012,46.47626095835585,5603.575,5884.191666666667,0.2564814814814815,0.31666666666666665,120,17.01810333388889,2.2329162806485576,1.5071096728548987,0.0,1.0,False,False
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER,15.472240415833335,1.4123520769444444,0.0,0.2127700911111111,1.4593933419444445,0.8337793781236317,0.07610985899632776,0.0,0.011465909880018868,0.07864485300002172,126.59105794772728,32.80301598064516,,6.383102733333333,43.781800258333334,6.353128436448363,9.71881135792937,43.75655205035388,51.74794530884828,5492.025,5802.316666666667,0.3648148148148148,0.36666666666666664,120,18.556755925833336,2.3711040968505963,1.9659406863618158,0.0,1.0,False,False
gemma3_12b,Gemma 3 12B,gemma3,12.0,ER+RR,15.472240415833335,1.4123520769444444,4.788136593333333,0.17783425194444444,1.381954833888889,0.6659734558829524,0.06079203582201428,0.20609632403582837,0.007654540529282651,0.059483643729922285,126.59105794772728,32.80301598064516,111.20833378064516,5.3350275583333335,41.458645016666665,5.308679618760167,6.834159752202686,41.43393384092099,46.9112600998138,5511.308333333333,5822.541666666667,0.3703703703703704,0.375,120,23.23251817194445,1.936940269107028,1.5941895218987885,0.0,1.0,True,False
gemma3_1b,Gemma 3 1B,gemma3,1.0,Native,1.91936536,0.0,0.0,0.16559518277777777,1.3775028144444446,0.5543352122402878,0.0,0.0,0.04782582967480912,0.3978389580849031,15.7038984,,,4.9678554833333335,41.32508443333334,4.947464828852874,6.412325924751348,41.30931789856113,45.94977330798283,5534.008333333333,5901.725,0.3731481481481482,0.2916666666666667,120,3.4624633572222225,10.108410223893001,10.776955873621375,0.0,1.0,False,True
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER,1.91936536,0.8570788466666667,0.0,0.16849562666666665,1.3897742888888889,0.4427893756961356,0.1977244225340699,0.0,0.03887122008873936,0.3206149816810551,15.7038984,19.906347406451612,,5.0548687999999995,41.69322866666666,5.0337449985769736,6.558452266815584,41.67141905446188,45.5371617687284,5567.991666666667,5938.975,0.3703703703703704,0.3,120,4.334714122222222,8.305045958035254,8.544285965056847,0.0,1.0,True,False
gemma3_1b,Gemma 3 1B,gemma3,1.0,ER+RR,1.91936536,0.8570788466666667,3.2977268783333336,0.16875327333333334,1.3582279080555557,0.2525097896653294,0.11275643700186559,0.4338456542852546,0.022201012085961497,0.17868710696158896,15.7038984,19.906347406451612,76.59236620645162,5.0625982,40.74683724166667,5.039183694116461,6.522771435952745,40.72605493888065,45.11292404790875,5453.875,5816.3,0.3592592592592593,0.3,120,7.601152266388889,4.736124042559494,4.726378931360812,0.0,1.0,False,False
gemma3_270m,Gemma 3 270M,gemma3,0.27,Native,0.6937525369444445,0.0,0.0,0.1647917822222222,1.3701459280555555,0.31128261893240594,0.0,0.0,0.0739410882367409,0.6147762928308532,5.676157120454546,,,4.943753466666666,41.10437784166666,4.92569239368119,6.420509122614749,41.09010258130923,45.406265322933905,5487.25,5886.325,0.32222222222222224,0.2916666666666667,120,2.228690247222222,15.704290914191882,14.457918619414748,0.0,1.0,True,True
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER,0.6937525369444445,0.3535284433333334,0.0,0.167533,1.4130496655555556,0.26399868122702597,0.13453074092861633,0.0,0.06375254677526196,0.5377180310690958,5.676157120454546,8.210983200000001,,5.025989999999999,42.39148996666667,5.006311091650665,6.448103596060537,42.37162661978121,45.67354748531943,5662.125,6049.466666666666,0.3592592592592593,0.275,120,2.627863645833333,12.557729185197212,13.671152985007069,1.0,2.0,False,True
gemma3_270m,Gemma 3 270M,gemma3,0.27,ER+RR,0.6937525369444445,0.3535284433333334,1.9371962227777777,0.16744356916666667,1.3796444616666668,0.1530933576231631,0.07801464286324376,0.42748942645482313,0.03695049293662497,0.304452080122145,5.676157120454546,8.210983200000001,44.99294452903226,5.023307075,41.38933385,5.004196612839587,6.519287550030276,41.36887851974073,45.59576088776812,5534.95,5895.475,0.37407407407407406,0.2916666666666667,120,4.531565233888889,7.723600608958634,8.254853560897587,2.0,2.0,False,True
gemma3_4b,Gemma 3 4B,gemma3,4.0,Native,5.895061624166667,0.0,0.0,0.16707436555555555,1.3601516283333333,0.7942378317200026,0.0,0.0,0.02250982098148935,0.18325234729850814,48.23232237954546,,,5.0122309666666665,40.804548849999996,4.9914651205947544,6.507204958365764,40.78769442848764,46.38656504761311,5507.033333333334,5824.508333333333,0.27685185185185185,0.2833333333333333,120,7.422287618055555,4.580797962785914,3.7300070557543252,0.0,1.0,False,False
